"tab_code","表章項目","cat01_code","宿泊施設タイプ","cat02_code","宿泊者数","area_code","施設所在地","time_code","時間軸(年次、月次)","unit","value"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000505","2015年5月","人","650210"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000404","2015年4月","人","566560"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000303","2015年3月","人","660260"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000202","2015年2月","人","543560"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000101","2015年1月","人","545030"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000000","2014年","人","7719630"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014001212","2014年12月","人","598100"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014001111","2014年11月","人","661940"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014001010","2014年10月","人","666120"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000909","2014年9月","人","699480"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000808","2014年8月","人","849710"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000707","2014年7月","人","700950"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000606","2014年6月","人","642120"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000505","2014年5月","人","647040"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000404","2014年4月","人","586480"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000303","2014年3月","人","641670"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000202","2014年2月","人","507560"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2014000101","2014年1月","人","518480"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000000","2016年","人","2569460"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016001212","2016年12月","人","169300"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016001111","2016年11月","人","202570"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016001010","2016年10月","人","284510"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000909","2016年9月","人","240220"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000808","2016年8月","人","303110"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000707","2016年7月","人","245650"
